Camera ID,Camera Name,Event Created At
3,PTZ-Danna Top,2024-05-17 17:14:36.765842+00:00
5,PTZ-Oghi Solar,2024-05-17 17:06:30.285876+00:00
3,PTZ-Danna Top,2024-05-17 16:43:52.188905+00:00
7,PTZ-Badrosha,2024-05-17 16:42:45.131578+00:00
5,PTZ-Oghi Solar,2024-05-17 16:31:55.452243+00:00
3,PTZ-Danna Top,2024-05-17 16:13:06.449276+00:00
7,PTZ-Badrosha,2024-05-17 16:08:42.498226+00:00
5,PTZ-Oghi Solar,2024-05-17 15:57:23.891819+00:00
3,PTZ-Danna Top,2024-05-17 15:42:21.248279+00:00
7,PTZ-Badrosha,2024-05-17 15:34:32.938979+00:00
5,PTZ-Oghi Solar,2024-05-17 15:22:52.889130+00:00
6,PTZ-Chowki Top,2024-05-17 15:20:07.409843+00:00
3,PTZ-Danna Top,2024-05-17 15:11:36.044639+00:00
7,PTZ-Badrosha,2024-05-17 15:00:26.063465+00:00
5,PTZ-Oghi Solar,2024-05-17 14:48:22.097576+00:00
6,PTZ-Chowki Top,2024-05-17 14:45:55.821110+00:00
3,PTZ-Danna Top,2024-05-17 14:40:52.575366+00:00
7,PTZ-Badrosha,2024-05-17 14:26:21.067062+00:00
6,PTZ-Chowki Top,2024-05-17 14:14:42.256850+00:00
5,PTZ-Oghi Solar,2024-05-17 14:13:51.499778+00:00
3,PTZ-Danna Top,2024-05-17 14:10:13.818952+00:00
7,PTZ-Badrosha,2024-05-17 13:52:12.064398+00:00
3,PTZ-Danna Top,2024-05-17 13:39:21.056771+00:00
5,PTZ-Oghi Solar,2024-05-17 13:39:18.045530+00:00
6,PTZ-Chowki Top,2024-05-17 13:37:58.320480+00:00
6,PTZ-Chowki Top,2024-05-17 13:27:20.570032+00:00
6,PTZ-Chowki Top,2024-05-17 13:26:15.492590+00:00
6,PTZ-Chowki Top,2024-05-17 13:24:53.429884+00:00
7,PTZ-Badrosha,2024-05-17 13:18:05.307414+00:00
3,PTZ-Danna Top,2024-05-17 13:08:35.478492+00:00
5,PTZ-Oghi Solar,2024-05-17 13:04:51.645098+00:00
7,PTZ-Badrosha,2024-05-17 12:44:00.284478+00:00
3,PTZ-Danna Top,2024-05-17 12:38:11.564032+00:00
5,PTZ-Oghi Solar,2024-05-17 12:30:14.628410+00:00
3,PTZ-Danna Top,2024-05-17 12:19:00.466865+00:00
7,PTZ-Badrosha,2024-05-17 12:09:55.042998+00:00
5,PTZ-Oghi Solar,2024-05-17 11:55:44.997496+00:00
6,PTZ-Chowki Top,2024-05-17 11:55:18.820993+00:00
6,PTZ-Chowki Top,2024-05-17 11:54:19.672397+00:00
3,PTZ-Danna Top,2024-05-17 11:48:15.158213+00:00
7,PTZ-Badrosha,2024-05-17 11:35:46.844892+00:00
5,PTZ-Oghi Solar,2024-05-17 11:21:11.162131+00:00
3,PTZ-Danna Top,2024-05-17 11:18:53.287200+00:00
7,PTZ-Badrosha,2024-05-17 11:01:40.085121+00:00
3,PTZ-Danna Top,2024-05-17 10:47:24.401241+00:00
5,PTZ-Oghi Solar,2024-05-17 10:47:21.825523+00:00
7,PTZ-Badrosha,2024-05-17 10:27:38.995799+00:00
3,PTZ-Danna Top,2024-05-17 10:15:57.776877+00:00
5,PTZ-Oghi Solar,2024-05-17 10:12:06.849870+00:00
7,PTZ-Badrosha,2024-05-17 09:53:27.630886+00:00
3,PTZ-Danna Top,2024-05-17 09:45:12.018023+00:00
5,PTZ-Oghi Solar,2024-05-17 09:37:36.075743+00:00
7,PTZ-Badrosha,2024-05-17 09:19:19.678321+00:00
3,PTZ-Danna Top,2024-05-17 09:14:26.174577+00:00
5,PTZ-Oghi Solar,2024-05-17 09:03:05.011480+00:00
7,PTZ-Badrosha,2024-05-17 08:45:13.633931+00:00
3,PTZ-Danna Top,2024-05-17 08:43:41.955006+00:00
5,PTZ-Oghi Solar,2024-05-17 08:28:34.690065+00:00
3,PTZ-Danna Top,2024-05-17 08:12:54.127896+00:00
7,PTZ-Badrosha,2024-05-17 08:11:07.277606+00:00
5,PTZ-Oghi Solar,2024-05-17 07:54:06.508371+00:00
3,PTZ-Danna Top,2024-05-17 07:42:10.888402+00:00
7,PTZ-Badrosha,2024-05-17 07:37:00.857380+00:00
5,PTZ-Oghi Solar,2024-05-17 07:19:29.026742+00:00
3,PTZ-Danna Top,2024-05-17 07:11:22.765597+00:00
7,PTZ-Badrosha,2024-05-17 07:02:53.711214+00:00
5,PTZ-Oghi Solar,2024-05-17 06:44:55.059940+00:00
3,PTZ-Danna Top,2024-05-17 06:40:36.295939+00:00
7,PTZ-Badrosha,2024-05-17 06:28:46.567031+00:00
5,PTZ-Oghi Solar,2024-05-17 06:10:22.331760+00:00
3,PTZ-Danna Top,2024-05-17 06:09:53.059109+00:00
7,PTZ-Badrosha,2024-05-17 06:02:36.475805+00:00
3,PTZ-Danna Top,2024-05-17 05:39:05.490592+00:00
5,PTZ-Oghi Solar,2024-05-17 05:35:49.460193+00:00
7,PTZ-Badrosha,2024-05-17 05:20:32.872498+00:00
